通道（部分）,元素符号,质量数,元素中文名,同位素中文名
CD3(110:114),Cd 和 In,110−114,镉 (Cadmium) 和 铟 (Indium),镉-110 到 铟-115
CD45(In115),In,115,铟 (Indium),铟-115
BC1(La139),La,139,镧 (Lanthanum),镧-139
BC2(Pr141),Pr,141,镨 (Praseodymium),镨-141
pNFkB(Nd142),Nd,142,钕 (Neodymium),钕-142
pp38(Nd144),Nd,144,钕 (Neodymium),钕-144
CD4(Nd145),Nd,145,钕 (Neodymium),钕-145
BC3(Nd146),Nd,146,钕 (Neodymium),钕-146
CD20(Sm147),Sm,147,钐 (Samarium),钐-147
CD33(Nd148),Nd,148,钕 (Neodymium),钕-148
pStat5(Nd150),Nd,150,钕 (Neodymium),钕-150
CD123(Eu151),Eu,151,铕 (Europium),铕-151
pAkt(Sm152),Sm,152,钐 (Samarium),钐-152
pStat1(Eu153),Eu,153,铕 (Europium),铕-153
pSHP2(Sm154),Sm,154,钐 (Samarium),钐-154
pZap70(Gd156),Gd,156,钆 (Gadolinium),钆-156
pStat3(Gd158),Gd,158,钆 (Gadolinium),钆-158
BC4(Tb159),Tb,159,铽 (Terbium),铽-159
CD14(Gd160),Gd,160,钆 (Gadolinium),钆-160
pSlp76(Dy164),Dy,164,镝 (Dysprosium),镝-164
BC5(Ho165),Ho,165,钬 (Holmium),钬-165
pBtk(Er166),Er,166,铒 (Erbium),铒-166
pPlcg2(Er167),Er,167,铒 (Erbium),铒-167
pErk(Er168),Er,168,铒 (Erbium),铒-168
BC6(Tm169),Tm,169,铥 (Thulium),铥-169
pLat(Er170),Er,170,铒 (Erbium),铒-170
IgM(Yb171),Yb,171,镱 (Ytterbium),镱-171
pS6(Yb172),Yb,172,镱 (Ytterbium),镱-172
HLA-DR(Yb174),Yb,174,镱 (Ytterbium),镱-174
BC7(Lu175),Lu,175,镥 (Lutetium),镥-175
CD7(Yb176),Yb,176,镱 (Ytterbium),镱-176
DNA−1(Ir191),Ir,191,铱 (Iridium),铱-191
DNA−2(Ir193),Ir,193,铱 (Iridium),铱-193
